               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.041305,            0.035089,           0.0025716,             0.49423,             0.49451,              0.5133,             0.20848,            0.042787,            0.014693,           0.0054598,            0.003169,            0.003169,            0.003169
                  71,            0.040956,            0.034786,           0.0024568,              0.5921,             0.44471,             0.47897,             0.21636,            0.040136,            0.014426,            0.004057,             0.00307,             0.00307,             0.00307
                  72,            0.040299,            0.033308,           0.0028456,             0.59804,             0.59031,             0.61262,             0.28495,            0.037461,            0.014658,           0.0044744,            0.002971,            0.002971,            0.002971
                  73,            0.040871,            0.033323,           0.0026702,             0.65021,             0.59227,             0.65297,             0.30814,            0.037032,            0.014139,           0.0028861,            0.002872,            0.002872,            0.002872
                  74,            0.040647,            0.033869,           0.0024418,             0.67334,             0.60364,              0.6353,             0.30208,            0.036663,            0.014353,           0.0029721,            0.002773,            0.002773,            0.002773
                  75,            0.040738,            0.034907,           0.0027988,             0.72323,             0.59396,             0.65835,             0.30224,            0.036206,            0.014278,           0.0030673,            0.002674,            0.002674,            0.002674
                  76,            0.040943,             0.03402,           0.0035321,             0.64578,             0.61766,             0.65302,             0.31063,            0.036755,             0.01443,           0.0042115,            0.002575,            0.002575,            0.002575
                  77,            0.039643,             0.03438,           0.0026778,             0.64563,              0.6076,             0.64469,              0.3024,            0.035925,            0.014074,           0.0032657,            0.002476,            0.002476,            0.002476
                  78,            0.039883,              0.0332,           0.0021401,              0.6678,             0.61885,              0.6546,             0.30777,            0.035838,            0.013937,           0.0034181,            0.002377,            0.002377,            0.002377
                  79,             0.03987,            0.034042,           0.0021848,             0.57888,             0.63813,             0.64951,             0.29733,            0.036013,            0.014263,           0.0022566,            0.002278,            0.002278,            0.002278
                  80,             0.03962,            0.033661,           0.0020591,             0.59614,             0.62925,             0.63494,              0.3061,            0.035471,            0.014259,           0.0029757,            0.002179,            0.002179,            0.002179
                  81,             0.03957,             0.03495,            0.002002,             0.62061,             0.61878,              0.6479,             0.31267,            0.035375,            0.014313,           0.0018848,             0.00208,             0.00208,             0.00208
                  82,            0.039621,            0.033838,           0.0022049,             0.62043,              0.6357,             0.64358,              0.3139,            0.036304,            0.014345,           0.0036453,            0.001981,            0.001981,            0.001981
                  83,            0.039414,            0.033485,           0.0023764,             0.63013,             0.61063,             0.64553,             0.30874,            0.036204,            0.013866,           0.0022697,            0.001882,            0.001882,            0.001882
                  84,            0.039962,            0.034244,           0.0024912,              0.6413,             0.63989,             0.65325,             0.30838,            0.035497,             0.01401,           0.0022779,            0.001783,            0.001783,            0.001783
                  85,             0.03986,             0.03302,              0.0023,              0.6368,             0.61436,             0.65598,             0.30623,            0.036073,            0.014223,           0.0023904,            0.001684,            0.001684,            0.001684
                  86,            0.038869,            0.032696,           0.0019957,             0.66965,             0.61375,              0.6505,             0.30853,            0.035636,            0.014243,           0.0036759,            0.001585,            0.001585,            0.001585
                  87,            0.039237,            0.034157,           0.0021505,             0.64879,             0.63598,             0.66784,             0.32407,            0.034774,            0.014227,           0.0021635,            0.001486,            0.001486,            0.001486
                  88,            0.038889,            0.033329,            0.001975,             0.60985,             0.63505,             0.66323,             0.32551,            0.034964,            0.013914,           0.0025865,            0.001387,            0.001387,            0.001387
                  89,            0.038863,            0.033539,           0.0021653,             0.73018,             0.60348,              0.6723,             0.32569,            0.034766,            0.014094,           0.0028847,            0.001288,            0.001288,            0.001288
                  90,            0.038674,            0.033442,           0.0017588,             0.60767,             0.63734,             0.65384,             0.31718,            0.035171,            0.014041,           0.0025512,            0.001189,            0.001189,            0.001189
                  91,            0.038876,            0.033074,           0.0022978,             0.64435,             0.59977,             0.65917,             0.31748,             0.03456,            0.013909,           0.0033319,             0.00109,             0.00109,             0.00109
                  92,             0.03816,            0.033365,           0.0018173,             0.62842,             0.61906,             0.66363,             0.31912,            0.034723,            0.014025,           0.0033523,            0.000991,            0.000991,            0.000991
                  93,            0.039404,            0.033532,           0.0023047,             0.60196,             0.64712,             0.65256,             0.30861,            0.034751,            0.013939,           0.0023977,            0.000892,            0.000892,            0.000892
                  94,            0.038734,            0.032294,           0.0021792,             0.61157,             0.64773,             0.67302,             0.31757,             0.03575,            0.014039,           0.0016866,            0.000793,            0.000793,            0.000793
                  95,            0.038704,            0.032803,           0.0026779,             0.61656,             0.63035,             0.66176,             0.32176,            0.034428,            0.014017,           0.0020796,            0.000694,            0.000694,            0.000694
                  96,            0.038654,            0.033456,           0.0018316,             0.62555,             0.64102,              0.6742,             0.32355,            0.034892,            0.013831,           0.0022679,            0.000595,            0.000595,            0.000595
                  97,            0.038108,            0.032162,           0.0026576,             0.62107,              0.6404,             0.66188,             0.31976,            0.034613,            0.013919,           0.0021209,            0.000496,            0.000496,            0.000496
                  98,            0.038425,            0.033488,           0.0020444,             0.62627,             0.63709,             0.67011,             0.32655,            0.034514,            0.013864,           0.0020049,            0.000397,            0.000397,            0.000397
                  99,             0.03797,            0.033203,           0.0021511,             0.61357,             0.64926,             0.67303,             0.32997,            0.034445,            0.013925,           0.0023394,            0.000298,            0.000298,            0.000298
